hotel,arrival_date_year,is_canceled,lead_time,previous_cancellations,previous_bookings_not_canceled,booking_changes,total_of_special_requests,is_repeated_guest,deposit_type,reserved_room_type
Resort Hotel,2015,0,342,0,0,3,0,0,No Deposit,C
Resort Hotel,2015,0,737,0,0,4,0,0,No Deposit,C
Resort Hotel,2015,0,7,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,13,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,14,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,14,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,C
Resort Hotel,2015,0,9,0,0,0,1,0,No Deposit,C
Resort Hotel,2015,1,85,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,75,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,23,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,35,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,68,0,0,0,3,0,No Deposit,D
Resort Hotel,2015,0,18,0,0,1,1,0,No Deposit,G
Resort Hotel,2015,0,37,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,68,0,0,0,3,0,No Deposit,D
Resort Hotel,2015,0,37,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,12,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,7,0,0,0,1,0,No Deposit,G
Resort Hotel,2015,0,37,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,0,72,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,0,72,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,0,72,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,0,127,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,78,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,48,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,60,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,77,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,99,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,118,0,0,2,2,0,No Deposit,A
Resort Hotel,2015,0,95,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,96,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,69,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,45,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,1,40,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,15,0,0,0,0,0,No Deposit,A
